state,fiscal_year,value,agency,bureau,program
Alabama,2016,15876,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Alaska,2016,8312,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Arizona,2016,20950,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Arkansas,2016,12719,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
California,2016,79420,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Colorado,2016,14468,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Connecticut,2016,8423,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Delaware,2016,8312,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
District of Columbia,2016,8324,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Florida,2016,30403,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Georgia,2016,18123,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Hawaii,2016,16672,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Idaho,2016,8312,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Illinois,2016,34630,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Indiana,2016,13484,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Iowa,2016,12382,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Kansas,2016,9473,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Kentucky,2016,12941,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Louisiana,2016,11396,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Maine,2016,8312,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Maryland,2016,14108,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Massachusetts,2016,15451,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Michigan,2016,25873,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Minnesota,2016,14875,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Mississippi,2016,8607,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Missouri,2016,16781,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Montana,2016,8312,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Nebraska,2016,8175,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Nevada,2016,11854,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
New Hampshire,2016,8312,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
New Jersey,2016,15815,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
New Mexico,2016,9421,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
New York,2016,41590,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
North Carolina,2016,19449,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
North Dakota,2016,8312,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Ohio,2016,23107,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Oklahoma,2016,13919,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
Oregon,2016,11815,Environmental Protection Agency,Office of Water,Capitalization Grants for Drinking Water State Revolving Fund
